YEAR,LAT,LON,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2010,6.5,82.5,5.0906,27.41,79.16,6.34
2010,7.5,82.5,5.0532,27.24,78.69,6.29
2010,8.5,82.5,5.1614,27.12,77.95,6.31
2010,9.5,82.5,5.2262,26.86,77.96,6.35
2011,6.5,82.5,4.2132,26.43,84.5,6.75
2011,7.5,82.5,3.864,26.39,84.49,7.65
2011,8.5,82.5,3.8962,26.45,82.51,7.86
2011,9.5,82.5,3.9674,26.36,80.92,7.86
2012,6.5,82.5,5.783,26.84,76.9,5.5
2012,7.5,82.5,5.7238,26.74,75.52,5.26
2012,8.5,82.5,5.7576,26.67,74.77,5.4
2012,9.5,82.5,5.7334,26.49,74.55,5.58
2013,6.5,82.5,4.3918,27.24,80.4,7.11
2013,7.5,82.5,4.3819,27.12,78.97,6.77
2013,8.5,82.5,4.4597,27.06,77.75,7.05
2013,9.5,82.5,4.6956,26.93,76.84,7.19
2014,6.5,82.5,5.0287,26.92,79.97,6.48
2014,7.5,82.5,4.7069,26.71,79.8,6.66
2014,8.5,82.5,4.6514,26.66,79.06,7.17
2014,9.5,82.5,4.5672,26.62,77.7,7.46
2015,6.5,82.5,5.7413,26.86,78.98,5.76
2015,7.5,82.5,5.8368,26.63,78.84,5.36
2015,8.5,82.5,5.8411,26.6,77.81,5.48
2015,9.5,82.5,5.7482,26.49,76.87,5.6
2016,6.5,82.5,5.327,27.97,78.54,6.64
2016,7.5,82.5,5.3426,27.66,77.78,6.2
2016,8.5,82.5,5.429,27.5,76.76,6.31
2016,9.5,82.5,5.411,27.23,76.11,6.34
2017,6.5,82.5,5.0743,26.98,77.81,6.48
2017,7.5,82.5,5.0796,26.8,77.09,6.32
2017,8.5,82.5,5.0856,26.65,76.37,6.52
2017,9.5,82.5,5.1667,26.44,76.03,6.64
2018,6.5,82.5,5.0695,27.06,78.06,5.67
2018,7.5,82.5,4.9056,26.68,78.29,5.57
2018,8.5,82.5,5.0815,26.32,78.14,5.66
2018,9.5,82.5,5.2992,26.2,77.21,5.85
2019,6.5,82.5,5.0782,27.13,80.65,7
2019,7.5,82.5,5.1307,26.95,79.14,6.57
2019,8.5,82.5,5.3628,26.78,77.76,6.59
2019,9.5,82.5,5.4466,26.59,76.11,6.57
2020,6.5,82.5,5.5937,27.84,77.63,6.34
2020,7.5,82.5,5.6105,27.73,76.75,5.92
2020,8.5,82.5,5.7012,27.63,76.18,6.02
2020,9.5,82.5,5.6746,27.45,75.62,5.97
2021,6.5,82.5,4.218,27.43,81.63,5.54
2021,7.5,82.5,4.4659,27.23,81.9,5.66
2021,8.5,82.5,4.5449,27.12,81.95,5.79
2021,9.5,82.5,4.517,27.12,81.21,6.19
2022,6.5,82.5,5.55,27.37,79.81,5.84
2022,7.5,82.5,5.4382,27.27,79.16,5.67
2022,8.5,82.5,5.4593,27.3,78.12,6
2022,9.5,82.5,5.3678,27.21,77.44,6.22
2023,6.5,82.5,4.5259,26.94,80.27,7.36
2023,7.5,82.5,4.6858,26.71,79.29,7
2023,8.5,82.5,4.7964,26.62,77.46,6.92
2023,9.5,82.5,4.8703,26.54,75.82,6.86
2024,6.5,82.5,4.9097,27.88,79.95,5.88
2024,7.5,82.5,4.7652,27.81,79.15,5.77
2024,8.5,82.5,5.0155,27.75,77.63,6.11
2024,9.5,82.5,5.1264,27.6,76.93,6.24
2025,6.5,82.5,3.6055,27.53,82.59,7.18
2025,7.5,82.5,3.7807,27.16,82.31,6.85
2025,8.5,82.5,4.1208,27.14,81.03,6.96
2025,9.5,82.5,4.4878,27.14,79.78,7.21
2010,6.5,82.5,5.7245,27.84,77.78,5.92
2010,7.5,82.5,5.8562,27.52,77.24,5.26
2010,8.5,82.5,5.8598,27.23,76.54,5.15
2010,9.5,82.5,6.1121,26.8,76.57,4.96
2011,6.5,82.5,4.4388,26.76,81.39,5.47
2011,7.5,82.5,4.4525,26.65,80.83,5.34
2011,8.5,82.5,4.5802,26.6,80.6,5.63
2011,9.5,82.5,4.6586,26.61,79.96,6.03
2012,6.5,82.5,5.2718,27.07,79.82,5.73
2012,7.5,82.5,5.5831,27.02,78.65,5.53
2012,8.5,82.5,5.6318,27,77.98,5.79
2012,9.5,82.5,5.8627,26.87,77.45,5.75
2013,6.5,82.5,5.1482,27.49,79.62,5.54
2013,7.5,82.5,5.2932,27.39,78.98,5.34
2013,8.5,82.5,5.345,27.3,78.56,5.55
2013,9.5,82.5,5.4958,27.16,78.35,5.65
2014,6.5,82.5,6.2628,27.45,73.73,5.84
2014,7.5,82.5,6.1142,27.27,73,5.4
2014,8.5,82.5,6.1522,27.01,73.22,5.55
2014,9.5,82.5,6.1781,26.76,73.44,5.61
2015,6.5,82.5,5.6484,27.17,79.37,5.6
2015,7.5,82.5,5.3957,27.09,78.82,5.66
2015,8.5,82.5,5.4763,27.11,77.33,5.97
2015,9.5,82.5,5.6921,27.05,76.33,6.07
2016,6.5,82.5,5.652,28.13,78.17,6.26
2016,7.5,82.5,5.861,28.04,76.84,5.81
2016,8.5,82.5,5.9215,27.9,76.42,5.88
2016,9.5,82.5,5.9952,27.66,76.19,5.88
2017,6.5,82.5,5.6261,27.24,76.44,5.8
2017,7.5,82.5,5.8286,27.08,74.81,5.41
2017,8.5,82.5,6.0886,26.93,73.59,5.34
2017,9.5,82.5,6.1114,26.65,72.87,5.29
2018,6.5,82.5,5.5133,27.23,80.41,6.07
2018,7.5,82.5,5.4091,27.07,79.01,5.6
2018,8.5,82.5,5.6902,26.9,77.95,5.78
2018,9.5,82.5,6.0305,26.6,77.03,5.83
2019,6.5,82.5,5.4739,27.88,80.15,5.62
2019,7.5,82.5,5.6318,27.74,79.39,5.48
2019,8.5,82.5,5.8178,27.47,79.03,5.57
2019,9.5,82.5,6.0214,27.19,78.47,5.48
2020,6.5,82.5,5.9237,27.7,77.7,6.77
2020,7.5,82.5,6.0305,27.48,76.86,6.27
2020,8.5,82.5,6.1008,27.29,76.3,6.38
2020,9.5,82.5,6.1853,27.18,75.17,6.34
2021,6.5,82.5,5.6078,27.62,79.74,6.27
2021,7.5,82.5,5.6813,27.44,78.7,5.87
2021,8.5,82.5,5.8879,27.27,77.66,6.01
2021,9.5,82.5,6.0986,26.84,77.42,6.02
2022,6.5,82.5,5.389,27.54,79.29,5.77
2022,7.5,82.5,5.376,27.38,78.85,5.7
2022,8.5,82.5,5.5466,27.24,77.95,6
